Animal,Extinction Frame,SSIM Index,Final state check,Initial Entropy,Final Entropy,params
Hexahelicium solidus,225,,,0.20078920358428337,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.37, 's': 0.05}"
Hexahelicium ignis,-1,0.9451177429442025,stable,0.20464076173797485,0.2104936338041771,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.0445}"
Hexahelicium serratus,-1,0.9422057802786861,stable,0.18826445093631494,0.19154230321057886,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.39, 's': 0.067}"
Octahelicium,-1,0.7400593871977658,soup,0.2684298901963997,1.158521224594397,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.055}"
Octahelicium serratus,-1,0.9078122582863958,stable,0.29302598211477315,0.2911303392136289,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.37, 's': 0.058}"
Decahelicium,-1,0.9129071621375731,stable,0.34569224562148115,0.3555338880534677,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.41, 's': 0.066}"
Decahelicium serratus,-1,0.8867027822328579,stable,0.3406402003462375,0.3472207544744451,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.41, 's': 0.07}"
Dodecahelicium limus,-1,0.8712679973237943,stable,0.38883777512265,0.392849297497726,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.42, 's': 0.07}"
Catenohelicium monospirae,-1,0.8109816757675576,soup,0.23681405850138096,0.7734095229079584,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.35, 's': 0.0428}"
Catenohelicium bispirae vacuoides,-1,0.004305360770392442,soup,0.17810637328895423,1.13690913365514,"{'R': 13, 'T': 5, 'b': '1', 'm': 0.33, 's': 0.047}"
Catenohelicium bispirae scutoides,-1,0.04213890564131974,soup,0.18597675267817917,1.9630311153083158,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.407, 's': 0.0806}"
Circium lithos apertus,-1,0.9998283370606635,stable,0.011369738959806162,0.012831450413168145,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.16, 's': 0.023}"
Circium lithos opertus,-1,1.0,stable,0.03687450625387198,0.03687450625387198,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.808, 's': 0.367}"
Circium ventilans,-1,0.9976323904017689,stable,0.032779095918538684,0.028023595336199195,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.38, 's': 0.07}"
Circium ventilans tenuis,-1,0.99999598919979,stable,0.011079394534441733,0.012842246764634215,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.146, 's': 0.0199}"
Circium ventilans lateralis,106,,,0.025242565838681265,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.275, 's': 0.0357}"
Circium ventilans scintillans,172,,,0.02044632234669958,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.3, 's': 0.0243}"
Circium ventilans cumulans,-1,0.9998391367947794,stable,0.02043818601429869,0.019289214132594473,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.319, 's': 0.0136}"
Circium rupturus,-1,0.1043381628277645,soup,0.023692714114345467,0.6708568713693347,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.079, 's': 0.0107}"
Discutium pachus,-1,0.03865563323576244,soup,0.09839265200741287,1.6261234908857447,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.545, 's': 0.186}"
Trihelicium pachus,-1,0.001788957754936196,soup,0.10776912542034998,1.144842916924967,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.46, 's': 0.119}"
max-fleet,-1,0.7197467035529392,soup,0.8211285109646556,0.8532574459927641,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.337, 's': 0.057}"
Aerogeminium volitans,-1,0.9496943075276552,stable,0.13192541198993393,0.1334845417348633,"{'R': 18, 'T': 10, 'b': '1,11/12', 'm': 0.32, 's': 0.051}"
Aerogeminium ambiguus,-1,0.9496650613186928,stable,0.15002319909953807,0.14564298072109283,"{'R': 18, 'T': 10, 'b': '1,5/6', 'm': 0.29, 's': 0.041}"
Aerogeminium quietus,-1,0.9715259391895015,stable,0.11757490591945895,0.05595900260896584,"{'R': 18, 'T': 10, 'b': '1,1,1', 'm': 0.3, 's': 0.048}"
