Animal,Extinction Frame,Final state check,Initial Entropy,Final Entropy,params,size,symmetry,circularity,MSE,SSIM,tolerance
Paraptera orbis furiosus,-1,stable,0.1009175581149832,0.099587823528771,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.235, 's': 0.0323}",578,0.9507246376811594,0.0899544292013678,0.1102506879098107,0.5808460606990132,0.21
Paraptera sinus labens,119,,0.1144912171872064,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.33, 's': 0.0462}",668,0.926490984743412,0.0963524809282691,0.0235758699504017,0.922688106134182,0.24
Paraptera sinus pedes,-1,stable,0.1078781038918392,0.1130592531785897,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.313, 's': 0.041}",630,0.8922558922558923,0.0818533831174993,0.0045276463372845,0.9799696089347802,0.24
Paraptera ambiguus,479,,0.1418902298231541,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.374, 's': 0.0675}",846,0.9541029207232268,0.0500420094017736,0.1487225703444937,0.6171362381820082,0.13
Paraptera serratus arcus saliens,-1,stable,0.1310685590904042,0.147242963110125,"{'R': 10, 'T': 10, 'b': '1/2,1', 'm': 0.34, 's': 0.059}",790,0.9594755661501788,0.0852389264455734,0.1476870490932645,0.5961669548116179,0.24
Pentapteryx arcus labens,-1,stable,0.1690897771865714,0.1727157762368954,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.373, 's': 0.0645}",1032,0.959910913140312,0.0449526321177248,0.1447325199768044,0.6246735342395869,0.17
Pentapteryx arcus saliens,-1,stable,0.1860670860143362,0.1893176386116629,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.348, 's': 0.0631}",1147,0.951271186440678,0.0561332811995215,0.2177161557410868,0.4227271023557231,0.19
Pentapteryx arcus pedes,-1,soup,0.1901221037666928,1.8677860876124528,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.32, 's': 0.0567}",1172,0.9132290184921764,0.0716264552217386,0.2361547407573385,0.3442491110757054,0.23
Pentapteryx cavus labens,141,,0.1426562385604609,,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.34, 's': 0.05}",854,0.9574468085106383,0.0895840570961395,0.1022409840478057,0.7084161763857327,0.21
Pentapteryx cavus saliens,-1,stable,0.1476103571184938,0.1469142711171405,"{'R': 13, 'T': 10, 'b': '1', 'm': 0.298, 's': 0.0469}",890,0.9609375,0.0936271298601235,0.1789783994357089,0.4593252051551313,0.29
