Animal,MSE,SSIM,tolerance
Decadentium rotans,0.0370241196180581,0.8757150648060769,0.27
Decadentium rotans,0.037039086951045,0.8759882500026172,0.27
Decadentium rotans,0.037039086951045,0.8759882500026172,0.27
Decadentium vagus,0.0236396613050941,0.8738204400324273,0.42
Decadentium volubilis,0.0101064133922657,0.9649593160811576,0.56
Undecadentium rotans,0.0590132581014596,0.7401795122886127,0.48
Undecadentium scintillans,0.0335426786206767,0.8386267187483715,0.42
Dodecadentium rotans,0.1023779163270415,0.5885992556410968,0.4
Dodecadentium scintillans,0.0328586541693379,0.8532011500451889,0.38
Dodecadentium nausia,0.1193364447039366,0.5897199705947849,0.14
Tridecadentium rotans,0.01960468826376,0.9393036398077762,0.33
Bifolium lithos,0.0028561188434761,0.9897698775650964,0.33
Bifolium lithos limus,0.0021714985984243,0.9917723460615628,0.31
Tetrafolium lithos,0.0029985757237329,0.9881681723558136,0.43
Pentafolium lithos,0.0043355577149363,0.9875322711794018,0.57
Pentafolium incarceratus,0.2258127837928982,0.3615197601261085,0.67
Pentafolium incarceratus,0.2258127837928982,0.3615197601261085,0.67
Pentafolium incarceratus,0.2413041282640958,0.3218768189625898,0.67
Pentafolium incarceratus,0.2413041282640958,0.3218768189625898,0.67
Hexafolium incarceratus,0.1913853050673733,0.3364303132895135,0.45
Octafolium lithos,0.0118417038825926,0.9620332871563732,0.78
Octafolium lithos,0.0118417038825926,0.9620332871563732,0.78
Octafolium lithos,0.0116432809723786,0.9626545713547184,0.78
Octafolium lithos,0.0116432809723786,0.9626545713547184,0.78
Octafolium lithos limus,0.0051412532472847,0.9835346451050824,0.82
Octafolium tardus,0.0170756162543646,0.9457488869140024,0.49
Dodecafolium lithos,0.0701346032385574,0.8093701484948463,0.22
Dodecafolium lithos,0.0701346032385574,0.8093701484948463,0.22
Dodecafolium lithos,0.0706462054240558,0.8095677546433544,0.22
Dodecafolium lithos,0.0706462054240558,0.8095677546433544,0.22
Dodecafolium ventilans,0.0116747337874532,0.97035257302751,0.6
Heptafolium nausia,0.0126763386621396,0.9597995628848652,0.43
Nonafolium lithos,0.0103318979524647,0.960508702562745,0.28
Nonafolium rotans,0.0120825040263561,0.9627634308686364,0.3
Tridecafolium lithos,0.073309939439361,0.6302488391601492,0.19
Bug (smaller),0.0129704570185804,0.9558925869756364,0.03
Bug (bigger),0.0333266682643426,0.9136599527612338,0.02
